Method,DataSet,BlockSize,MaxDiff,CompressionRatio,BPP,CompressionTime(μs/point),DecompressionTime(μs/point)
LZ77,Geolife_100k,50,1e-05,0.866552,110.919,0.00758,0.000515
Zstd,Geolife_100k,50,1e-05,0.834819,106.857,0.10409,0.003215
Snappy,Geolife_100k,50,1e-05,0.898719,115.036,0.000595,5e-05
SimPiece,Geolife_100k,50,1e-05,0.242358,31.0218,0.097365,0.020915
Deflate,Geolife_100k,10000,1e-05,0.542295,69.4138,0.260075,0.04153
LZ4,Geolife_100k,10000,1e-05,0.803233,102.814,0.032265,0.023615
FPC,Geolife_100k,10000,1e-05,0.632331,80.9383,0.011865,0.01482
Gorilla,Geolife_100k,10000,1e-05,0.702277,89.8915,0.006015,0.0115
Chimp128,Geolife_100k,10000,1e-05,0.591858,75.7578,0.00711,0.00874
Elf,Geolife_100k,10000,1e-05,0.25801,33.0253,0.063235,0.00919
SerfQt,Geolife_100k,10000,1e-05,0.0747878,9.57284,0.00961,0.01447
SerfXOR,Geolife_100k,10000,1e-05,0.164448,21.0494,0.01504,0.00793
CoST,Geolife_100k,10000,1e-05,0.0566291,7.24853,0.06821,0.04884
LZ77,Trajtory_100k,50,1e-05,0.900935,115.32,0.001425,0.00018
Zstd,Trajtory_100k,50,1e-05,0.833161,106.645,0.087255,0.00671
Snappy,Trajtory_100k,50,1e-05,0.921622,117.968,0.000265,6e-05
SimPiece,Trajtory_100k,50,1e-05,0.128421,16.4378,0.04614,0.009195
Deflate,Trajtory_100k,10000,1e-05,0.657161,84.1166,0.303175,0.039935
LZ4,Trajtory_100k,10000,1e-05,0.929252,118.944,0.011055,0.00861
FPC,Trajtory_100k,10000,1e-05,0.568115,72.7187,0.00967,0.012745
Gorilla,Trajtory_100k,10000,1e-05,0.74305,95.1104,0.005925,0.011295
Chimp128,Trajtory_100k,10000,1e-05,0.639998,81.9198,0.006405,0.00844
Elf,Trajtory_100k,10000,1e-05,0.558,71.424,0.06432,0.00964
SerfQt,Trajtory_100k,10000,1e-05,0.084493,10.8151,0.008775,0.0135
SerfXOR,Trajtory_100k,10000,1e-05,0.142539,18.245,0.01111,0.0072
CoST,Trajtory_100k,10000,1e-05,0.0569102,7.2845,0.04907,0.03629
LZ77,WX_taxi_100k,50,1e-05,0.781558,100.039,0.00248,0.000175
Zstd,WX_taxi_100k,50,1e-05,0.791203,101.274,0.094035,0.003095
Snappy,WX_taxi_100k,50,1e-05,0.817546,104.646,0.000355,0.00014
SimPiece,WX_taxi_100k,50,1e-05,0.351791,45.0292,0.12396,0.02138
Deflate,WX_taxi_100k,10000,1e-05,0.535393,68.5303,0.225585,0.03936
LZ4,WX_taxi_100k,10000,1e-05,0.743698,95.1934,0.01302,0.008615
FPC,WX_taxi_100k,10000,1e-05,0.549539,70.341,0.010105,0.01196
Gorilla,WX_taxi_100k,10000,1e-05,0.624721,79.9643,0.00638,0.010315
Chimp128,WX_taxi_100k,10000,1e-05,0.553091,70.7956,0.009155,0.010065
Elf,WX_taxi_100k,10000,1e-05,0.312812,40.04,0.064155,0.01166
SerfQt,WX_taxi_100k,10000,1e-05,0.147411,18.8686,0.01314,0.02141
SerfXOR,WX_taxi_100k,10000,1e-05,0.174067,22.2806,0.01614,0.0086
CoST,WX_taxi_100k,10000,1e-05,0.130135,16.6573,0.2353,0.10471
